"category","id","name","price_range","user_id"
"Shopping & Retail","10611651804","Toronto FC","","2916504498365637"
"Science, Technology & Engineering","204598186697469","WATonomous","","2402833493164545"
"Education Website","2189212347992631","Carcinogenic Memes for Nano Scale Teens","","2402833493164545"
"Political Organization","188880394486886","Waterloo Engineering Society","$","2402833493164545"
"Musician/Band","127464250623646","ARJUN","","2402833493164545"
"Event","834185943274658","Hack the North","","2402833493164545"
"Clothing (Brand)","976271015858532","H&M","","2402833493164545"
"Education","1485899191492645","WCS Business Club + DECA","","2402833493164545"
"Public Figure","397259413732692","Markian","","2402833493164545"
"Actor","176634649122500","Jake T. Austin","","2402833493164545"
"Media/News Company","23497828950","National Geographic","","2402833493164545"
"Media/News Company","697789576948199","BuzzFeed India","","2402833493164545"
"Community","444659522615773","Team Bio: Taking Action to Combat Water Pollution","","2402833493164545"
"Community","234177650441226","Molar Mass Memes for Moisturized Teens","","2402833493164545"
"Artist","147286541981923","Josh Hutcherson","","2402833493164545"
"Public Figure","119669298068344","Bella Thorne","","2402833493164545"
"Musician/Band","53856904324","Flo Rida","","2402833493164545"
"Politician","21751825648","Justin Trudeau","","2402833493164545"
"Clothing (Brand)","12816526310","Bluenotes","","2402833493164545"
"Musician/Band","9934379006","Miranda Cosgrove","","2402833493164545"
"Design & Fashion","576470179201134","RenderRize","","2402833493164545"
"Retail Company","1784182941909797","Hollister Co.","","2402833493164545"
"TV Channel","276172940703","National Geographic TV","","2402833493164545"
"Musician/Band","275004089257723","Leighton Meester","","2402833493164545"
"Community Organization","172863816183133","CHCI Key Club","","2402833493164545"
"Musician/Band","32752049981","Cimorelli","","2402833493164545"
"Musician/Band","9189674485","Ed Sheeran","","2402833493164545"
"Artist","506921692718847","Jacqueline Fernandez","","2402833493164545"
"Musician","497305810301446","Harry Styles","","2402833493164545"
"Musician/Band","182032895154467","Alex Aiono","","2402833493164545"
"Sport","115276211820909","Vollyball","","2402833493164545"
"Musician/Band","112963302097394","Cher Lloyd","","2402833493164545"
"Musician/Band","19061333123","Enrique Iglesias","","2402833493164545"
"TV Show","17774451468","Mr Bean","","2402833493164545"
"Musician/Band","7126051465","Katy Perry","","2402833493164545"
"Artist","470402606305707","Ian Somerhalder","","2402833493164545"
"Religious Center","361339567311711","Sai Bhakti Dham, Kitchener","","2402833493164545"
"Public Figure","197997523559852","Shah Rukh Khan","","2402833493164545"
"Actor","175680555811952","Michael Malarkey","","2402833493164545"
"Music Chart","126963587405355","Little Mix","","2402833493164545"
"Musician/Band","9770929278","Adele","","2402833493164545"
"Musician/Band","9208539755","Demi Lovato","","2402833493164545"
"Musician/Band","6564142497","Usher","","2402833493164545"
"Musician/Band","5170395767","Jennifer Lopez","","2402833493164545"
"Artist","370020619738714","Deepika Padukone","","2402833493164545"
"Public Figure","322311971179920","Joe Sugg","","2402833493164545"
"City","108196582538810","Science","","2402833493164545"
"Musician/Band","152288768736","Victoria Duffield","","2402833493164545"
"Public Figure","114696805612","Kim Kardashian West","","2402833493164545"
"Musician/Band","45309870078","Eminem","","2402833493164545"
"Education","8265402900","Shad Canada","","2402833493164545"
"Musician/Band","7961985974","Selena Gomez","","2402833493164545"
"Artist","819736761387920","Ranveer Singh","","2402833493164545"
"Community","585039184971097","Humans of SHAD","","2402833493164545"
"Personal Blog","236993106384457","Desi Memes","","2402833493164545"
"Musician","145300805513355","Jessie J","","2402833493164545"
"Movie","137918652903264","Disney PROM","","2402833493164545"
"Clothing (Brand)","60620847134","Garage","","2402833493164545"
"Entertainment Website","43491889189","Pretty Little Liars","","2402833493164545"
"Media/News Company","21898300328","BuzzFeed","","2402833493164545"
"Artist","9085937115","Leonardo DiCaprio","","2402833493164545"
"Food & Beverage Company","218767342027177","KitKat","","2402833493164545"
"TV Show","541573212554421","Ravenswood","","2402833493164545"
"Movie","216410885045047","Titanic","","2402833493164545"
"Artist","214121152104124","Paul Wesley","","2402833493164545"
"Neighborhood","105788652787522","Swimming","","2402833493164545"
"Food & Beverage Company","146775140426","McDonald's Canada","","2402833493164545"
"App Page","53427562027","Goodreads","","2402833493164545"
"Public Figure","26012002239","Ellen DeGeneres","","2402833493164545"
"Travel Company","45938834789","ME to WE","","2402833493164545"
"Clothing (Brand)","525738414202280","Calvin Klein","","2402833493164545"
"Event","419334281784552","Sai Bhaktidham 5th Anniversary - Canada 150th Anniversary","","2402833493164545"
"Musician/Band","134119343404312","Louis Tomlinson","","2402833493164545"
"Musician/Band","121930497861753","One Direction","","2402833493164545"
"Food & Beverage Company","288162265211","5 Gum","","2402833493164545"
"Radio Station","19003505092","91.5 THE BEAT","","2402833493164545"
"Musician/Band","12384211026","Ariana Grande","","2402833493164545"
"Musician/Band","5956341397","P!nk","","2402833493164545"
"Non-Governmental Organization (NGO)","1112318898838609","WE","","2402833493164545"
"Movie","214526202324526","Ich - Einfach Unverbesserlich","","2402833493164545"
"Actor","181490248630946","Liam Hemsworth","","2402833493164545"
"Musician/Band","170165893024463","Zendaya","","2402833493164545"
"Musician/Band","95051637400","Pitbull","","2402833493164545"
"Artist","72902583703","Brant Daugherty","","2402833493164545"
"Product/Service","7270241753","YouTube","","2402833493164545"
"Musician/Band","1442341262664631","Shawn Mendes","","2402833493164545"
"Musician/Band","183409211679665","Austin Mahone","","2402833493164545"
"Personal Blog","162558843875154","AsapSCIENCE","","2402833493164545"
"Artist","222401665690","Priyanka Chopra","","2402833493164545"
"Musician/Band","168252852669","Cody Simpson","","2402833493164545"
"Musician/Band","352476444849191","Liam Payne","","2402833493164545"
"TV Show","163565280410742","Sherlock","","2402833493164545"
"Actor","111411568893936","Shay Mitchell","","2402833493164545"
"Interest","110540392307856","Dancing","","2402833493164545"
"TV Show","291824160232","Pretty Little Liars","","2402833493164545"
"Musician/Band","65217182024","Owl City","","2402833493164545"
"Actor","1475530645992149","Janel Parrish","","2402833493164545"
"Community","315138958534486","IB Memes","","2402833493164545"
"Public Figure","196996190333613","Lilly Singh","","2402833493164545"
"Artist","129280043816404","Taylor Lautner","","2402833493164545"
"TV Show","121349517944687","Suits","","2402833493164545"
"Media/News Company","962005207153376","VICE Canada","","1159284257612136"
"Movie","924402837751798","Hellboy","","2361206374091828"
"Movie","428107850678371","Mission: Impossible","","2361206374091828"
"Clothing (Brand)","253043118101485","Simons","","2361206374091828"
"Movie","643179092384007","Una Noche en el Museo","","2361206374091828"
"Movie","122262321144017","Rio","","2361206374091828"
"Movie","104377417068","Harry Potter","","2361206374091828"
"Movie","113168089197149","Frozen","","2361206374091828"
"Fictional Character","480839192073984","Puss In Boots","","2361206374091828"
"Movie","306140043444","Shrek","","2361206374091828"
"Movie","158863734175023","Alvin and the Chipmunks","","2361206374091828"
"Science Website","542971019063265","Brilliant.org","","2361206374091828"
"Movie","696005070432311","Spider-Man","","2361206374091828"
"Movie","433910893485843","Kung Fu Panda ES","","2361206374091828"
"Movie","189806031055696","Immortals","","2361206374091828"
"Movie","163954208828","Shrek Forever After","","2361206374091828"
"Movie","144959715764","Green Lantern (Movie)","","2361206374091828"
"Movie","663627804109230","Bad Boys","","2361206374091828"
"Movie","126966474048192","Spy Kids","","2361206374091828"
"Movie","203590956402328","Journey to the Center of the Earth","","2361206374091828"
"Movie","177437215630726","Bolt","","2361206374091828"
"Movie","17377140236","Ratatouille","","2361206374091828"
"Movie","169281696425766","One Hundred and One Dalmatians","","2361206374091828"
"Movie","34920037265","Monsters vs. Aliens","","2361206374091828"
"Movie","125502530827816","A Bug's Life","","2361206374091828"
"Product/Service","153028221421370","Cars","","2361206374091828"
"Movie","1317365845060772","Így Neveld a Sárkányodat Filmek","","2361206374091828"
"Movie","143847285679708","Hercules","","2361206374091828"
"Broadcasting & Media Production Company","157917474221446","CNN","$$","2361206374091828"
"Public Figure","26012002239","Ellen DeGeneres","","2361206374091828"
"Movie","133107276935","Peter Pan","","2361206374091828"
"Movie","23245476854","Walt Disney Animation Studios","","2361206374091828"
"TV Show","421182894613231","Agents of S.H.I.E.L.D.","","2361206374091828"
"Movie","263903657057997","Guardians of the Galaxy","","2361206374091828"
"TV Show","583390655086575","The Flash","","2361206374091828"
"Science, Technology & Engineering","348072501301","xda-developers.com","","2361206374091828"
"Movie","261303947296342","Ice Age 4: Continental Drift (MALAYSIA)","","2361206374091828"
"Movie","1126476040700529","Madagascar","","2361206374091828"
"Video Game","343669132319719","8 Ball Pool","","2361206374091828"
"Video Game","356417261082215","Dragon City","","2361206374091828"
"Movie","317391334952902","King Kong","","2361206374091828"
"Movie","139195819664","Prince of Persia: The Sands of Time","","2361206374091828"
"Movie","124318580968131","Tarzan","","2361206374091828"
"TV","110680798960315","Shrek 3","","2361206374091828"
"Just For Fun","106178979412548","Hellboy","","2361206374091828"
"Movie","29349922628","WALL•E","","2361206374091828"
"TV & Movies","108755355814961","Shark Tale","","2361206374091828"
"Movie","888437597990285","X-Men Movies","","2361206374091828"
"Movie","118768521486489","The Expendables","","2361206374091828"
"Movie","162387307441","Happy Feet","","2361206374091828"
"Movie","229668807087652","Twilight","","2361206374091828"
"Movie","163042800417248","I Am Legend","","2361206374091828"
"Movie","122197134531175","The Transporter 3","","2361206374091828"
"Fictional Character","113589202010624","Thor","","2361206374091828"
"TV & Movies","109766365717243","Blade II","","2361206374091828"
"Movie","190107757674768","Ghost Rider","","2361206374091828"
"Movie","2006000293029263","Rambo","","2361206374091828"
"Travel & Transportation","388084788060853","Waterloop","$$","2210326352586821"
"Cause","362300451071622","Fridays For Future India","","2210326352586821"
"Personal Blog","967577006742372","ICSE : Toughest of All Existing Boards in India .","","2210326352586821"
"College & University","123316158509983","Co-operative Education Employer Information Sessions","","2210326352586821"
"Software","1217022608389040","StarterHacks","","2210326352586821"
"College & University","1100960436622669","Waterloo Data Science Club","","2210326352586821"
"Education","1085708554926714","SE Soc - Waterloo Software Engineering Society","","2210326352586821"
"Science, Technology & Engineering","159082044842699","Coffee 'N Code","","2210326352586821"
"Comedian","202549086498265","Sal Vulcano","","2210326352586821"
"Artist","140216402663925","Emma Watson","","2210326352586821"
"Fictional Character","324177497676007","~Admin Fred","","2210326352586821"
"Public Figure","212709898784434","Harry Potter flows in my blood","","2210326352586821"
"Author","119550501482314","We will never forget you Sirius, Fred, Dobby & Snape","","2210326352586821"
"Community","220045591454590","The Sarcastic Retards","","2210326352586821"
"Entertainment Website","485359835553","ONE PIECE Fanpage","","2210326352586821"
"TV Show","339976739458953","Naruto","","2210326352586821"
"TV Genre","103130939727157","Naruto","","2210326352586821"
"Just For Fun","194543293971087","Memes.","","2210326352586821"
"Neighborhood","124455884289109","Kalpataru Estate","","2210326352586821"
"Musician/Band","153464388031637","Nicky Romero","","2210326352586821"
"Musician/Band","181861021831773","2 Chainz","","2210326352586821"
"Musician/Band","12138756141","Wiz Khalifa","","2210326352586821"
"Actor","49581355512","Ludacris","","2210326352586821"
"Musician/Band","10376464573","Lady Gaga","","2210326352586821"
"Musician/Band","6885814958","Lil Wayne","","2210326352586821"
"Musician/Band","275648462478015","Martin Garrix","","2210326352586821"
"Musician/Band","119702488081975","Skrillex","","2210326352586821"
"Musician/Band","198933856805679","The Chainsmokers","","2210326352586821"
"Musician/Band","133263696687321","Nico & Vinz","","2210326352586821"
"Musician/Band","508598672491191","Lorde","","2210326352586821"
"Musician/Band","165442691420","Afrojack","","2210326352586821"
"Musician/Band","398310963535675","American Authors","","2210326352586821"
"Musician/Band","48382669205","JAY-Z","","2210326352586821"
"Musician/Band","24983228911","OneRepublic","","2210326352586821"
"Musician/Band","53856904324","Flo Rida","","2210326352586821"
"Musician/Band","10959868407","Sia","","2210326352586821"
"Musician/Band","107281645968137","Zedd","","2210326352586821"
"Musician/Band","26435256798","Avicii","","2210326352586821"
"Interest","666247826761426","Magic! (band)","","2210326352586821"
"Musician/Band","117713628271096","Lana Del Rey","","2210326352586821"
"Musician/Band","213641182015617","Pharrell Williams","","2210326352586821"
"Musician/Band","19366141168","Calvin Harris","","2210326352586821"
"Musician/Band","6329881653","Chris Brown","","2210326352586821"
"Musician/Band","39643821406","Imagine Dragons","","2210326352586821"
"Musician/Band","28940545600","Beyoncé","","2210326352586821"
"Musician/Band","5718732097","Justin Timberlake","","2210326352586821"
"Musician/Band","22516413022","John Legend","","2210326352586821"
"Musician/Band","5330548481","Maroon 5","","2210326352586821"
"Musician/Band","7126051465","Katy Perry","","2210326352586821"
"Musician/Band","93944052260","Jason Derulo","","2210326352586821"
"Musician/Band","39677118233","Britney Spears","","2210326352586821"
"Musician/Band","242567287243","Bruno Mars","","2210326352586821"
"Musician/Band","95051637400","Pitbull","","2210326352586821"
"Musician/Band","5170395767","Jennifer Lopez","","2210326352586821"
"Musician/Band","69448024527","Swedish House Mafia","","2210326352586821"
"Musician/Band","69116329538","The Beatles","","2210326352586821"
"Musician/Band","21275344520","Green Day","","2210326352586821"
"Musician/Band","15253175252","Coldplay","","2210326352586821"
"Musician/Band","7619396355","David Guetta","","2210326352586821"
"Musician/Band","8210451787","Linkin Park","","2210326352586821"
"Musician/Band","19061333123","Enrique Iglesias","","2210326352586821"
"Musician/Band","5027904559","Shakira","","2210326352586821"
"Musician/Band","45309870078","Eminem","","2210326352586821"
"Sports Team","19034719952","Real Madrid C.F.","","2210326352586821"
"Stadium, Arena & Sports Venue","415927231843864","Chelsea FC","","2210326352586821"
"Athlete","245323855526590","Wayne Rooney","","2210326352586821"
"Athlete","176063032413299","Leo Messi","","2210326352586821"
"Athlete","81221197163","Cristiano Ronaldo","","2210326352586821"
"Athlete","344128252278047","Sachin Tendulkar","","2210326352586821"
"Athlete","20242388857","Usain Bolt","","2210326352586821"
"Party Entertainment Service","104319517582378","PartyFinder","","911762459191977"
"Media/News Company","241806149201604","I am Programmer,I have no life.","","911762459191977"
"College & University","396626577068012","Wilfrid Laurier University Muslim Students' Association","","911762459191977"
"College & University","1100960436622669","Waterloo Data Science Club","","911762459191977"
"Society & Culture Website","248727372506213","UW Electrical and Computer Engineering Society","","911762459191977"
"Community Organization","2081408578844522","Hive App","","911762459191977"
